trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.5, 'e': 0.9952991875633305}",25,0,-60.254527305877986,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.995201841970541}",25,0,-124.6937567680109,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9951035011759926}",30,0,-127.5212244955878,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.9950041652780257}",25,0,-126.17367919766394,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9949038343759766}",20,0,-100.01362931633224,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.994802508570176}",25,13,-33.68470010374059,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.9947001879619498}",25,0,-148.06933686412748,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9945968726536185}",20,0,-148.10307245940544,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,0,-215.90257814482948,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 5}",0
107,False,"{'a': 0.5, 'e': 0.9943872583508965}",30,7,-66.56602278017922,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.9942809595661201}",20,0,-315.9641352906682,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 7}",0
109,False,"{'a': 0.5, 'e': 0.9941736665004669}",25,0,-209.6927716128957,"{0: 12, 1: 0, 2: 8, 3: 3, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9940653792612301}",25,3,-67.62370568807557,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-142.72917348933686,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.9938458226961485}",25,0,-48.69594526582319,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.9937345535898603}",30,0,-102.60332233324053,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.9936222907491012}",20,0,-87.1846508198376,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.9935090342861344}",30,0,-121.97939242916543,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
